"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"E1-shock-decomposition"
"07/25/2026 15:08:26:337 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","fertilizer-shock","fuel-shock","panic-rate","government-intervention?","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments","[demand] of one-of consumers"
"3","1","1","1","false","32","46.69845780844121","16.503939399947104","0.5245789810359913","53.07663293632871"
"3","1","1","1","false","33","45.05244144987426","16.37397406141422","0.5245789810359913","63.539734423336014"
"2","1","1","1","false","43","32.842798956949906","15.82754432345528","0.6141002404699605","56.09229285729168"
"3","1","1","1","false","34","44.914060997817494","17.338238831333666","0.6285870487407119","58.82713586970647"
"2","1","1","1","false","44","36.821764683909315","17.219876538422593","0.5301293954713991","48.02192663695128"
"3","1","1","1","false","35","46.17687621181749","17.62557565228159","0.5542026073396915","51.0288460088243"
"1","1","1","1","false","0","0","0","1","50"
"2","1","1","1","false","45","33.91227636049391","15.591565369461055","0.5255601080351238","70.6046821805138"
"3","1","1","1","false","36","50.4869096176078","17.42066406723499","0.5542026073396915","39.25425516003064"
"2","1","1","1","false","46","34.16533174592897","15.948155647189093","0.5165502736502229","52.47237126004293"
"3","1","1","1","false","37","50.554271992332176","17.6723085542715","0.5542026073396915","57.91674240750679"
"2","1","1","1","false","47","33.227571740177176","15.405416172646824","0.5165502736502229","62.95250371750561"
"3","1","1","1","false","38","51.173615282479446","19.45425129198186","0.5542026073396915","50.2226282710906"
"2","1","1","1","false","48","32.413014476577196","15.240140055287016","0.5219688274301216","37.97782744605473"
"3","1","1","1","false","39","50.95679566656079","19.248412766335726","0.5210849171060712","57.60593294759674"
"2","1","1","1","false","49","30.556837297534784","14.409499813825118","0.7593599927778966","68.07644864932897"
"3","1","1","1","false","40","45.243047975481","17.464462051665137","0.7710849171060712","30.459600425120335"
"2","1","1","1","false","50","30.397285129499622","14.363656311181922","0.7593599927778966","55.28719101421099"
"3","1","1","1","false","41","39.7482125960568","15.6916338022759","0.7710849171060712","27.82796020071268"
"2","1","1","1","false","51","29.964010127944125","14.98897374759853","0.7464361879405315","61.27246501267205"
"3","1","1","1","false","42","39.898800202526886","15.769570441378352","0.7710849171060712","45.07476815403679"
"2","1","1","1","false","52","33.63377569491946","15.026611353082448","0.5551168218015011","46.36856894829342"
"3","1","1","1","false","43","41.46230346765923","15.340816082170392","0.525363246728404","63.63403425938289"
"2","1","1","1","false","53","33.442776934601966","15.151112819248093","0.5751573571932262","41.093009990741095"
"3","1","1","1","false","44","41.70588024451875","15.715137841392556","0.525363246728404","55.780381309871736"
"3","1","1","1","false","45","40.37449743438513","15.103779782341107","0.665087100645883","65.08966081601599"
"2","1","1","1","false","54","32.972286693271755","14.862679827039445","0.64240508380589","38.51231937726527"
"2","1","1","1","false","55","33.18046055210291","15.008869597800633","0.64240508380589","52.4026003475388"
"3","1","1","1","false","46","39.82667992114487","15.356531454484927","0.6048672394894367","40.7370314797798"
"2","1","1","1","false","56","33.20881704689447","15.237399654064749","0.7604760972923692","55.897055632568524"
"3","1","1","1","false","47","39.95453050807381","15.693751895637648","0.7054532252422399","45.62126483069045"
"3","1","1","1","false","48","40.689488999119824","16.107563157180188","0.7054532252422399","51.48511998573623"
"2","1","1","1","false","57","33.3982548648948","15.198637753311898","0.7364369570421972","54.22225189117988"
"3","1","1","1","false","49","43.23232136525569","16.95808460335562","0.5246349322762923","42.774315983737495"
"1","1","1","1","false","1","0","0","0.9084265564183684","55.51949550253503"
"2","1","1","1","false","58","41.75735793105209","16.186318166290434","0.5330116741799501","55.54987326153478"
"3","1","1","1","false","50","40.80545113754599","15.996225627742454","0.5246349322762923","32.3294030374401"
"2","1","1","1","false","59","41.92890419676942","16.43344516855624","0.5330116741799501","45.90645542989383"
"2","1","1","1","false","60","42.11984382649629","16.71533589708562","0.5330116741799501","53.50384280170705"
"2","1","1","1","false","61","42.38887595030749","17.93766326484682","0.7310860681163732","49.911146304927264"
"3","1","1","1","false","51","37.44909160682648","14.893322646498811","0.5246349322762923","73.3336426576487"
"2","1","1","1","false","62","39.270363759652085","16.7072108431784","0.811275021781305","27.178909032538154"
"3","1","1","1","false","52","37.5664692413103","15.395846177317004","0.7518102971383887","45.18098963810744"
"2","1","1","1","false","63","37.3260254373378","16.129698060945817","0.811275021781305","30.802962967368213"
"3","1","1","1","false","53","38.499086778904015","15.409916493002678","0.6031558087407025","47.59585635576681"
"2","1","1","1","false","64","37.41488987241851","16.12639573138292","0.7624958604031997","46.37394573582987"
"3","1","1","1","false","54","38.67074897308689","15.609333472401994","0.6031558087407025","58.322607831373276"
"2","1","1","1","false","65","35.88311222690461","15.698734158639008","0.6788143995448322","66.52030288948171"
"3","1","1","1","false","55","39.011085294458645","15.605318944103505","0.6031558087407025","52.1481283261571"
"2","1","1","1","false","66","35.931583379027714","15.964059603279956","0.6198419382991573","48.56081788450991"
