"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"E2-intervention-returns-panic"
"07/25/2026 15:55:12:733 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","rho","panic-rate","fertilizer-shock","fuel-shock","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments"
"3","true","0","1","0.627","0.75","98","23.02027637784873","8.630663065333698","0.23512500000000003"
"2","true","0","1","0.627","0.75","99","43.45643399151428","11.06681140248101","0.2793537417453391"
"3","true","0","1","0.627","0.75","99","23.21689437588174","8.66601051513432","0.23512500000000003"
"3","true","0","1","0.627","0.75","100","23.357455993546832","8.882209379773839","0.35268750000000004"
"3","true","0","1","0.627","0.75","101","23.598179268799075","8.879944761785865","0.47025000000000006"
"3","true","0","1","0.627","0.75","102","23.566782556761122","8.84518392038201","0.40066408615247034"
"3","true","0","1","0.627","0.75","103","23.498805264770503","8.765927650316769","0.25734676952650093"
"3","true","0","1","0.627","0.75","104","23.7014153858456","8.761007722526017","0.23512500000000003"
"3","true","0","1","0.627","0.75","105","23.698308452339344","8.778645997679329","0.23512500000000003"
"3","true","0","1","0.627","0.75","106","23.725029011310983","8.77871469545077","0.23512500000000003"
"3","true","0","1","0.627","0.75","107","23.96612796803863","8.79122044046334","0.29501562531687375"
"3","true","0","1","0.627","0.75","108","24.326830051051434","8.773928356318768","0.23512500000000003"
"3","true","0","1","0.627","0.75","109","24.94231201043746","8.797592381796562","0.23512500000000003"
"3","true","0","1","0.627","0.75","110","24.99093840013774","8.845875117908191","0.24540100659865968"
"3","true","0","1","0.627","0.75","111","25.19364029021367","8.874155645497448","0.24540100659865968"
"2","true","0","1","0.627","0.75","100","43.50496600603416","11.069182823385157","0.23512500000000003"
"2","true","0","1","0.627","0.75","101","43.57804921540435","10.978745442141303","0.23512500000000003"
"2","true","0","1","0.627","0.75","102","43.58478242101626","10.976374397800074","0.23512500000000003"
"2","true","0","1","0.627","0.75","103","42.070430693838624","10.763102035078818","0.23512500000000003"
"2","true","0","1","0.627","0.75","104","42.105990153370115","10.741252294922935","0.23512500000000003"
